year,GEOID,NAME,popE,popM,median_hhincE,median_hhincM,povertyE,povertyM,pop_povertyE,pop_povertyM,median_rentE,median_rentM,median_homeE,median_homeM,whiteE,whiteM,blackE,blackM,hispanicE,hispanicM,asianE,asianM,foreign_bornE,foreign_bornM,survey,giniE,giniM,unempE,unempM,laborforceE,laborforceM,no_hsE,no_hsM,bachelorsE,bachelorsM,pop_25plusE,pop_25plusM,snapE,snapM,snap_totalE,snap_totalM,no_health_insE,no_health_insM
2009,3602500,"PUMA 02500, New York",111288,0,50514,1487,10878,1236,102711,2464,713,27,197500,5147,98328,41,5958,263,4489,0,1403,68,5681,540,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3602601,"PUMA 02601, New York",123368,374,51788,1242,12638,1180,122438,456,599,18,98600,1728,119062,509,468,161,1264,181,996,263,2665,423,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3602602,"PUMA 02602, New York",122208,374,38541,1246,20213,1553,113360,876,591,16,91600,1729,101752,506,7636,340,4399,181,5514,339,9719,701,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3602700,"PUMA 02700, New York",107057,0,42892,1230,14808,1284,100583,1259,634,18,84500,1491,96496,38,5285,223,2175,0,928,97,2606,287,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3602800,"PUMA 02800, New York",121200,0,43106,840,16135,973,118346,551,585,14,84300,1043,115482,36,1634,148,1452,0,1309,53,2607,277,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3602900,"PUMA 02900, New York",129740,0,41283,733,19620,1103,121824,1019,573,10,72000,1096,121851,35,1444,141,1528,0,1045,81,2409,228,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603000,"PUMA 03000, New York",134078,0,40179,1038,20794,1439,127670,1139,571,15,77800,1527,121839,59,2455,232,6554,0,743,59,2493,345,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603101,"PUMA 03101, New York",105291,169,48474,1212,15702,1155,99960,816,778,28,190800,5977,81299,591,8062,508,12131,429,1498,307,9329,866,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603102,"PUMA 03102, New York",152143,169,59209,1457,15230,1560,146533,624,941,23,242700,3510,128759,599,7741,570,10006,429,2627,270,10818,865,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603201,"PUMA 03201, New York",127641,61,71023,1711,7449,953,119982,940,981,34,334700,5222,109727,1079,4728,683,7756,702,2553,389,9810,824,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603202,"PUMA 03202, New York",164546,61,66277,1902,14471,1426,154265,1240,1039,21,315900,4339,114483,1054,21734,892,18003,702,7007,419,20557,1155,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603301,"PUMA 03301, New York",120820,52,64194,2430,11277,1360,118119,991,977,20,297000,6460,76128,1312,15791,1115,24454,1400,2046,467,15077,1101,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603302,"PUMA 03302, New York",122886,48,63528,2110,10972,1265,118459,762,974,24,283000,5620,82207,1374,12459,1035,22431,1288,2598,549,13898,1326,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603303,"PUMA 03303, New York",132842,40,84008,2781,20060,1509,125032,919,1115,31,355700,4576,107590,1360,6031,709,12998,1097,3933,714,12719,980,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603400,"PUMA 03400, New York",199055,58,54469,1599,26963,1849,197026,822,1047,19,427100,8840,91408,2468,34035,1461,58740,2051,11671,1223,56968,2390,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603501,"PUMA 03501, New York",131892,296,121447,4070,3908,876,129549,452,1360,72,662300,9091,110780,1357,3241,636,10048,1202,5761,662,17688,1172,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603502,"PUMA 03502, New York",145475,44,86860,2494,9403,1203,137699,1295,1244,37,497300,10005,94855,1758,11742,1087,30358,1957,6369,732,32001,1567,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603503,"PUMA 03503, New York",164786,58,96238,2625,9171,1293,160589,2451,1310,48,605900,8174,102234,1852,18836,1145,25775,1535,15161,1010,40594,1456,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603504,"PUMA 03504, New York",115544,38,92027,3864,6172,1013,112597,1282,1423,43,719300,16661,81464,1757,3566,731,23344,1505,5474,700,29050,1538,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603505,"PUMA 03505, New York",185554,39,65371,2249,17226,1741,181508,1448,1147,21,538800,11058,89852,1894,55155,1523,28826,1602,7971,1006,48732,1777,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603506,"PUMA 03506, New York",105855,285,88091,2610,6712,1251,104899,741,1246,58,429300,6501,89733,406,2150,234,10215,167,1719,255,11224,961,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3603601,"PUMA 03601, New York",131201,229,95780,3128,6660,1418,125860,2997,1351,62,519500,9396,98597,1044,8765,902,11109,1064,11485,603,23216,1157,acs5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
