boro_cd,cd_id,borough,community_district,year,overdose_deaths_reported,overdose_deaths_midpoint,overdose_deaths_missing,overdose_deaths_reported_per_100k,log1p_overdose_deaths_reported_per_100k,overdose_deaths_lower_per_100k,overdose_deaths_upper_per_100k,overdose_deaths_midpoint_per_100k,log1p_overdose_deaths_lower_per_100k,log1p_overdose_deaths_upper_per_100k,log1p_overdose_deaths_midpoint_per_100k,arrests_total_per_100k_lag1,arrests_felony_per_100k_lag1,arrests_misdemeanor_per_100k_lag1,cs_possession_low_per_100k_lag1,cs_possession_mid_per_100k_lag1,cs_possession_high_per_100k_lag1,mj_possession_low_per_100k_lag1,mj_possession_high_per_100k_lag1,log1p_arrests_total_per_100k_lag1,log1p_arrests_felony_per_100k_lag1,log1p_arrests_misdemeanor_per_100k_lag1,log1p_cs_possession_low_per_100k_lag1,log1p_cs_possession_mid_per_100k_lag1,log1p_cs_possession_high_per_100k_lag1,log1p_mj_possession_low_per_100k_lag1,log1p_mj_possession_high_per_100k_lag1,median_hhinc_10k,poverty_rate,unemp_rate,pct_black,pct_hispanic,pct_foreign_born,acs_interpolated
101,MN01,Manhattan,Battery Park / Tribeca,2013,,2,1,,,0,2.684383598416214,1.342191799208107,0,1.3041032384925195,0.8510871572996895,58.031088082901555,9.671848013816923,48.35924006908463,19.34369602763385,3.4542314335060453,2.763385146804836,29.015544041450777,3.4542314335060453,4.07806422179323,2.367609247487984,3.8991249837955673,3.012771086385789,1.4938545283083495,1.3253188573716246,3.4017153821917385,1.4938545283083495,11.3477,0.08046392336904154,0.0554566521129422,0.02232736057982685,0.0683108516206966,0.2397154553385679,0
101,MN01,Manhattan,Battery Park / Tribeca,2014,5,5,0,3.2875703540055756,1.455720221454941,3.2875703540055756,3.2875703540055756,3.2875703540055756,1.455720221454941,1.455720221454941,1.455720221454941,70.46506945842562,12.750822092477016,57.7142473659486,24.15945238574592,4.02657539762432,6.710958996040534,33.55479498020267,2.01328769881216,4.269208791282884,2.6210986108690997,4.072682412306013,3.225233666322953,1.6147389167755717,2.0426425632437057,3.542546324381571,1.1030317414217965,11.8108,0.07955833955585055,0.04951095461658842,0.02319052127715533,0.06887459891641681,0.23570564410078376,0
101,MN01,Manhattan,Battery Park / Tribeca,2015,5,5,0,3.262280856283479,1.4498044292723862,3.262280856283479,3.262280856283479,3.262280856283479,1.4498044292723862,1.4498044292723862,1.4498044292723862,71.01151964652044,13.80779548682342,57.20372415969702,23.012992478039028,1.3150281416022305,12.492767345221187,34.19073168165799,0,4.276826101308767,2.695153764183348,4.0639493416884145,3.1785950371207625,0.839421843663979,2.602153789672053,3.560782743434983,0,12.0408,0.07421990218338215,0.04442374626207167,0.02263370458089477,0.06837088218598916,0.24016259207787716,0
101,MN01,Manhattan,Battery Park / Tribeca,2016,6,6,0,3.858818686972628,1.5807953398423102,3.858818686972628,3.858818686972628,3.858818686972628,1.5807953398423102,1.5807953398423102,1.5807953398423102,74.38000352326333,10.439298740107134,63.940704783156185,17.616316623930786,1.9573685137700871,7.829474055080349,46.3243881592254,0.6524561712566959,4.322542034579016,2.437054685131111,4.173474619451598,2.924038434016655,1.0842998573090037,2.178095449430839,3.8570257685221225,0.502262769703134,12.4389,0.07546851029607553,0.04216230889296066,0.02226538382383206,0.06965810866433422,0.24237240172875077,0
101,MN01,Manhattan,Battery Park / Tribeca,2017,,2,1,,,0,2.5362686415745155,1.2681343207872575,0,1.2630721151855326,0.8189576084448201,172.3605680181107,21.866639226178226,150.4939287919325,31.513685943609797,4.501955134801399,12.862728956575427,118.9802428483227,4.501955134801399,5.155373633746217,3.1296790460416495,5.020545550165797,3.4816611066526866,1.7051035081255153,2.6292038687944075,4.7873270862962665,1.7051035081255153,13.3484,0.07789213504049754,0.03787570883895566,0.02303565993710053,0.06416125596023131,0.2391828142436847,0
101,MN01,Manhattan,Battery Park / Tribeca,2018,,2,1,,,0,2.5867197806461624,1.2933598903230812,0,1.277238074686223,0.8300179432928328,127.4474992391194,17.753880491021608,109.6936187480978,25.996753576138783,1.9022014811808865,14.583544689053465,83.69686517195902,1.2681343207872575,4.855520254616817,2.9314006905244048,4.706766193501118,3.295716620854385,1.0654695804395815,2.7462155299085227,4.439078590016286,0.8189576084448201,14.0213,0.07295349561777814,0.0379314081912137,0.02211645412452469,0.06490079929641222,0.232714245065832,0
101,MN01,Manhattan,Battery Park / Tribeca,2019,,2,1,,,0,2.569142035017406,1.284571017508703,0,1.2723252405828922,0.8261782682128621,54.32111539356941,17.4603585193616,36.860756874207816,21.340438190330843,7.113479396776947,9.70019917742311,15.520318683876976,0.6466799451615406,4.013154669166857,2.9156256503033173,3.6339151369761695,3.106398408056159,2.0935268016187383,2.370262356007049,2.804591058698352,0.4987611063624924,14.8377,0.06957474998150502,0.0375065724133902,0.02378383238917363,0.07169190848716071,0.22776086425938055,0
101,MN01,Manhattan,Battery Park / Tribeca,2020,,2,1,,,0,2.5449016077415907,1.2724508038707951,0,1.2655104043779175,0.8208588983734693,43.03312908654155,12.84571017508703,30.18741891145452,0,0,0,1.9268565262630544,0.6422855087543515,3.7849422843908553,2.6279754500049073,3.440014773474835,0,0,0,1.073928989174248,0.4960888745718255,15.445,0.0687815702842825,0.04174463453753914,0.02578303441343199,0.07629296907308321,0.2262576585632758,1
101,MN01,Manhattan,Battery Park / Tribeca,2021,9,9,0,5.672507248203706,1.897995688576013,5.672507248203706,5.672507248203706,5.672507248203706,1.897995688576013,1.897995688576013,1.897995688576013,15.90563504838494,5.089803215483181,10.81583183290176,0,0,0,0.6362254019353977,0,2.82764700116767,1.8066157684711963,2.4694403129766296,0,0,0,0.4923920049344109,0,16.0523,0.06800277346716413,0.04582061318899481,0.02774486322954746,0.08080801714357747,0.22478255388881885,0
102,MN02,Manhattan,Greenwich Village / SoHo,2013,9,9,0,6.039863096436481,1.9515887234519558,6.039863096436481,6.039863096436481,6.039863096436481,1.951588723451956,1.951588723451956,1.951588723451956,406.2176165803109,12.435233160621763,393.7823834196891,167.18480138169258,6.217616580310882,0,226.59758203799652,6.217616580310882,6.009347727022294,2.597880596633779,5.97833468503308,5.1250633830618835,1.9765247848749203,0,5.427579078461106,1.9765247848749203,11.3477,0.08046392336904154,0.0554566521129422,0.02232736057982685,0.0683108516206966,0.2397154553385679,0
102,MN02,Manhattan,Greenwich Village / SoHo,2014,,2,1,,,0,2.630056283204461,1.3150281416022305,0,1.289248153171561,0.839421843663979,307.36192201865646,10.737534393664856,296.62438762499164,136.23246761962284,6.039863096436481,2.684383598416214,160.39192000536875,2.01328769881216,5.7312741646065835,2.462791774767775,5.695832247266033,4.921676331753794,1.951588723451956,1.3041032384925195,5.083835692658104,1.1030317414217965,11.8108,0.07955833955585055,0.04951095461658842,0.02319052127715533,0.06887459891641681,0.23570564410078376,0
102,MN02,Manhattan,Greenwich Village / SoHo,2015,6,6,0,3.9147370275401743,1.5922382481067343,3.9147370275401743,3.9147370275401743,3.9147370275401743,1.5922382481067343,1.5922382481067343,1.5922382481067343,341.24980274577877,7.890168849613381,333.35963389616535,136.76292672663195,5.260112566408922,1.3150281416022305,196.59670716953343,1.3150281416022305,5.835540887822969,2.184946042552799,5.812217161891264,4.925534285565767,1.834198166804796,0.839421843663979,5.286228121053125,0.839421843663979,12.0408,0.07421990218338215,0.04442374626207167,0.02263370458089477,0.06837088218598916,0.24016259207787716,0
102,MN02,Manhattan,Greenwich Village / SoHo,2016,,2,1,,,0,2.5725457913150853,1.2862728956575429,0,1.273278448462646,0.8269229351758194,206.82860628837255,5.219649370053567,201.60895691831905,97.21596951724769,2.609824685026783,1.3049123425133915,104.39298740107132,1.3049123425133915,5.3367137317909465,1.8277135337881376,5.3112778007007275,4.587168824514066,1.2836592074610425,0.8350426464471254,4.657696100697164,0.8350426464471254,12.4389,0.07546851029607553,0.04216230889296066,0.02226538382383206,0.06965810866433422,0.24237240172875077,0
102,MN02,Manhattan,Greenwich Village / SoHo,2017,8,8,0,5.072537283149031,1.8037765215458297,5.072537283149031,5.072537283149031,5.072537283149031,1.8037765215458297,1.8037765215458297,1.8037765215458297,212.23502778349453,8.360773821774027,203.8742539617205,66.24305412636345,4.501955134801399,0.6431364478287713,137.63119983535708,3.215682239143857,5.362394974216443,2.2365279603387105,5.3223963956258595,4.208313728781408,1.7051035081255153,0.4966068835853969,4.931817168460224,1.438811438176538,13.3484,0.07789213504049754,0.03787570883895566,0.02303565993710053,0.06416125596023131,0.2391828142436847,0
102,MN02,Manhattan,Greenwich Village / SoHo,2018,5,5,0,3.233399725807703,1.443005387935117,3.233399725807703,3.233399725807703,3.233399725807703,1.443005387935117,1.443005387935117,1.443005387935117,405.1689154915289,8.242873085117175,396.9260424064117,133.15410368266205,4.438470122755402,2.5362686415745155,263.7719387237496,1.2681343207872575,6.00676912108645,2.223852777269532,5.986266164917718,4.898989166658416,1.693497793881332,1.2630721151855326,5.578868846860419,0.8189576084448201,14.0213,0.07295349561777814,0.0379314081912137,0.02211645412452469,0.06490079929641222,0.232714245065832,0
102,MN02,Manhattan,Greenwich Village / SoHo,2019,8,8,0,5.138284070034812,1.8145452356797138,5.138284070034812,5.138284070034812,5.138284070034812,1.8145452356797136,1.8145452356797136,1.8145452356797136,211.46434206782376,7.760159341938488,203.7041827258853,149.3830673323159,3.233399725807703,4.526759616130785,54.32111539356941,0,5.358774172250365,2.1702140945018744,5.321565925901988,5.013185820951037,1.443005387935117,1.7096016792566202,4.013154669166857,0,14.8377,0.06957474998150502,0.0375065724133902,0.02378383238917363,0.07169190848716071,0.22776086425938055,0
102,MN02,Manhattan,Greenwich Village / SoHo,2020,6,6,0,3.817352411612386,1.5722244849496827,3.817352411612386,3.817352411612386,3.817352411612386,1.5722244849496827,1.5722244849496827,1.5722244849496827,160.57137718858786,5.780569578789163,154.7908076097987,0,0,0,5.138284070034812,0.6422855087543515,5.084947009041406,1.9140611070947415,5.048514130475203,0,0,0,1.8145452356797136,0.4960888745718255,15.445,0.0687815702842825,0.04174463453753914,0.02578303441343199,0.07629296907308321,0.2262576585632758,1
102,MN02,Manhattan,Greenwich Village / SoHo,2021,7,7,0,4.411950081936216,1.6886094866769825,4.411950081936216,4.411950081936216,4.411950081936216,1.6886094866769823,1.6886094866769823,1.6886094866769823,83.3455276535371,0.6362254019353977,82.7093022516017,0,0,0,0.6362254019353977,0,4.434921786288576,0.4923920049344109,4.427350109332026,0,0,0,0.4923920049344109,0,16.0523,0.06800277346716413,0.04582061318899481,0.02774486322954746,0.08080801714357747,0.22478255388881885,0
103,MN03,Manhattan,Lower East Side / Chinatown,2013,15,15,0,9.051685122046887,2.3077402942849097,9.051685122046887,9.051685122046887,9.051685122046887,2.3077402942849097,2.3077402942849097,2.3077402942849097,842.3074118190438,46.794856212169094,795.5125556068746,329.3871697012422,20.054938376643896,18.23176216058536,466.1253859056324,8.508155674939836,6.7373315556076,3.8669180230828943,6.680242892699652,5.800265208269458,3.047135134829456,2.9565631914182444,6.146597713934571,2.252149922411853,4.2656,0.26033050065007257,0.0903160203825149,0.06917901215943034,0.246139456295447,0.354632954168301,0
103,MN03,Manhattan,Lower East Side / Chinatown,2014,19,19,0,11.633032915360502,2.5363150433507595,11.633032915360502,11.633032915360502,11.633032915360502,2.5363150433507595,2.5363150433507595,2.5363150433507595,627.5835017952509,38.62052318740005,588.9629786078508,337.32613221494734,24.74127266692816,7.844793772440636,251.63684639290344,6.034456748031258,6.443468878068115,3.67934724631699,6.380059786808733,5.824010318487517,3.24809564410531,2.179829011618128,5.53195306781742,1.9508204662671145,4.2873,0.2509306617116513,0.08651270791902797,0.06739199647335423,0.24642437304075235,0.3545564753134796,0
103,MN03,Manhattan,Lower East Side / Chinatown,2015,30,30,0,18.296029761541742,2.9598993629120423,18.296029761541742,18.296029761541742,18.296029761541742,2.9598993629120423,2.9598993629120423,2.9598993629120423,554.0997257053292,31.225509404388713,522.8742163009405,243.06916144200625,19.59247648902821,8.571708463949843,279.80505485893417,2.4490595611285264,6.319147783560395,3.4727583564392925,6.261251610278363,5.4974516336620685,3.0249257901076283,2.2588117124103215,5.637660673624009,1.238101602906356,4.2102,0.2713905276436335,0.07789800851847588,0.07736781118497287,0.246606086479234,0.3521863755565042,0
103,MN03,Manhattan,Lower East Side / Chinatown,2016,47,47,0,29.245406293362535,3.4093443148745863,29.245406293362535,29.245406293362535,29.245406293362535,3.4093443148745863,3.4093443148745863,3.4093443148745863,608.038055741904,18.905897420259805,589.1321583216442,292.12660852594985,10.977617856925049,4.878941269744465,297.0055497956943,3.049338293590291,6.411880754660509,2.991016040603511,6.380346508971477,5.680604626694058,2.4830397295868876,1.7713766895325709,5.697112109807474,1.3985534834710855,4.2223,0.2579758656394694,0.07603112385186919,0.07867636535601616,0.24940109141367317,0.34461044496574555,0
103,MN03,Manhattan,Lower East Side / Chinatown,2017,21,21,0,13.153609099792048,2.6499696516229356,13.153609099792048,13.153609099792048,13.153609099792048,2.6499696516229356,2.6499696516229356,2.6499696516229356,714.9568474696501,19.91176598697024,695.0450814826798,286.85387874979,9.3336403063923,6.222426870928199,408.19120273288985,4.3556988096497395,6.573619896247266,3.040311966448664,6.545414430482018,5.662452985930425,2.335404622446013,1.9771910281326353,6.0141825351486435,1.678161192052381,4.3316,0.25704959295237345,0.07091881168956841,0.07366647458221633,0.25079548016936837,0.3488775586901511,0
