outcome_version,arrest_measure,treatment_variable,coefficient,clustered_se,p_value
midpoint,Total,log1p_arrests_total_per_100k_lag1,-0.03805591385837956,0.0488799250857917,0.43623943920417796
midpoint,Felony,log1p_arrests_felony_per_100k_lag1,-0.015124177609567076,0.041607162543416155,0.7162318791857397
midpoint,Misdemeanor,log1p_arrests_misdemeanor_per_100k_lag1,-0.01604527134567563,0.04234633791090254,0.7047578467932214
midpoint,CS low,log1p_cs_possession_low_per_100k_lag1,-0.05078383310651566,0.03195561845075479,0.11201549887802106
midpoint,CS mid,log1p_cs_possession_mid_per_100k_lag1,-0.04468006741957171,0.02714217786442076,0.09973309787525843
midpoint,CS high,log1p_cs_possession_high_per_100k_lag1,-0.04755731561281284,0.027145036099559483,0.07977879734515443
midpoint,MJ low,log1p_mj_possession_low_per_100k_lag1,-0.01656651372477444,0.025812633769791447,0.5210039208195347
midpoint,MJ high,log1p_mj_possession_high_per_100k_lag1,0.0024315091151338093,0.023471160709513116,0.9174902748769089
