outcome_version,arrest_measure,treatment_variable,coefficient,clustered_se,p_value
reported,Total,log1p_arrests_total_per_100k_lag1,-0.033351769238280086,0.04325086835830588,0.44063361952241936
reported,Felony,log1p_arrests_felony_per_100k_lag1,-0.009986470587387006,0.04072960004324301,0.8063097000480084
reported,Misdemeanor,log1p_arrests_misdemeanor_per_100k_lag1,-0.012181102738726567,0.03766012988217541,0.7463558007304514
reported,CS low,log1p_cs_possession_low_per_100k_lag1,-0.06243191193775901,0.03050782078403321,0.04071475238699229
reported,CS mid,log1p_cs_possession_mid_per_100k_lag1,-0.03305077591293975,0.026446759877754102,0.21140556344167719
reported,CS high,log1p_cs_possession_high_per_100k_lag1,-0.050238848457347045,0.024552914003162233,0.040742001621438866
reported,MJ low,log1p_mj_possession_low_per_100k_lag1,-0.012617909268778964,0.022209210679331834,0.5699408774935877
reported,MJ high,log1p_mj_possession_high_per_100k_lag1,-6.003032976822834e-4,0.01943534832737374,0.9753595059008913
