outcome_version,arrest_measure,treatment_variable,coefficient,clustered_se,p_value
upper,Total,log1p_arrests_total_per_100k_lag1,-0.03720788734599589,0.04438962084522428,0.40191197152807334
upper,Felony,log1p_arrests_felony_per_100k_lag1,-0.01122914822754794,0.04052121301064181,0.7816896767071386
upper,Misdemeanor,log1p_arrests_misdemeanor_per_100k_lag1,-0.016009884958513843,0.0387346209079682,0.6793704491446844
upper,CS low,log1p_cs_possession_low_per_100k_lag1,-0.05677291119114609,0.0309161850825417,0.06630603022174246
upper,CS mid,log1p_cs_possession_mid_per_100k_lag1,-0.038593137353504434,0.02634748920889793,0.14298237850830228
upper,CS high,log1p_cs_possession_high_per_100k_lag1,-0.04912744294942895,0.02537964794340264,0.05290417236002127
upper,MJ low,log1p_mj_possession_low_per_100k_lag1,-0.01654946908422776,0.023096017021330323,0.47365132206133853
upper,MJ high,log1p_mj_possession_high_per_100k_lag1,0.0022829549557540026,0.019980826877088315,0.9090338453041493
