outcome_version,arrest_measure,treatment_variable,coefficient,clustered_se,p_value
lower,Total,log1p_arrests_total_per_100k_lag1,-0.0394278114749244,0.06104349439553699,0.5183460458976452
lower,Felony,log1p_arrests_felony_per_100k_lag1,-0.02247199151651741,0.04583012057117146,0.6238987266155579
lower,Misdemeanor,log1p_arrests_misdemeanor_per_100k_lag1,-0.015968013448303075,0.05190042482156951,0.7583362392998838
lower,CS low,log1p_cs_possession_low_per_100k_lag1,-0.03952416778120903,0.03597783698116665,0.271955724886459
lower,CS mid,log1p_cs_possession_mid_per_100k_lag1,-0.05708095828002184,0.03145706027097926,0.06959040533906974
lower,CS high,log1p_cs_possession_high_per_100k_lag1,-0.04495773450818433,0.031965542221946495,0.15959242047786362
lower,MJ low,log1p_mj_possession_low_per_100k_lag1,-0.0161584092283416,0.03267857558149526,0.6209778758157406
lower,MJ high,log1p_mj_possession_high_per_100k_lag1,0.003653247604174281,0.0331081287138725,0.9121374196757068
